aX,aY,aZ,gX,gY,gZ
0.679,0.643,1.064,6.958,29.114,3.662
0.691,0.583,1.029,-4.944,34.485,3.174
0.699,0.626,1.023,-7.385,40.588,2.014
0.717,0.647,0.972,-3.174,48.279,-0.366
0.699,0.658,0.955,0.488,55.115,-3.479
0.680,0.632,0.926,0.610,61.768,-6.653
0.668,0.862,0.460,6.470,65.369,-10.376
0.396,0.558,0.406,1.221,63.416,-19.226
0.200,0.533,0.766,-16.113,62.866,-18.433
0.150,0.428,0.886,0.305,66.040,-11.963
0.297,0.554,0.760,-1.831,70.679,-6.470
0.458,0.666,0.433,18.494,70.740,-1.892
0.574,0.712,0.034,17.395,69.458,-2.625
0.461,0.617,0.182,9.033,66.956,-3.845
0.415,0.543,0.153,-0.305,61.829,0.793
0.335,0.642,-0.041,2.014,49.133,3.967
0.330,0.905,-0.183,-8.972,39.612,-0.305
0.324,0.984,-0.557,4.517,25.024,-4.883
0.368,0.862,-0.679,1.526,4.639,-9.766
0.420,0.699,-0.522,-4.578,-14.587,-8.545
0.520,0.558,-0.216,-2.014,-30.701,-4.395
0.621,0.531,-0.090,5.981,-38.696,-0.610
0.473,0.596,-0.161,12.146,-46.326,-0.305
0.409,0.589,-0.132,1.526,-59.204,-3.418
0.347,0.562,-0.200,-2.380,-69.946,-3.174
0.352,0.587,-0.193,-3.662,-82.031,-1.343
0.401,0.620,-0.024,-2.808,-93.201,2.441
0.532,0.539,0.551,-25.757,-94.604,5.005
0.501,0.437,0.582,-18.860,-87.952,14.343
0.438,0.659,0.597,-0.671,-82.642,16.602
0.343,0.609,0.724,-16.663,-78.979,10.315
0.391,0.632,0.608,-18.311,-83.313,6.470
0.434,0.549,0.660,-20.752,-87.402,2.625
0.566,0.565,0.829,-24.231,-80.383,1.892
0.516,0.686,0.957,-7.690,-63.110,1.465
0.494,0.548,1.261,-9.033,-46.875,-1.648
0.561,0.495,1.301,-3.113,-36.743,4.822
0.543,0.452,1.359,1.099,-27.466,7.690
0.516,0.502,1.441,-4.395,-12.268,7.202
0.498,0.562,1.429,0.549,2.258,6.165
0.506,0.625,1.177,6.775,14.343,3.723
0.513,0.715,0.842,10.986,21.118,1.160
0.499,0.715,0.671,6.165,22.400,-0.671
0.461,0.634,0.655,-0.061,22.461,-0.854
0.474,0.627,0.590,-0.244,23.010,0.305
0.482,0.629,0.523,2.625,23.437,0.671
0.497,0.626,0.495,0.977,23.010,0.610
0.502,0.601,0.514,-1.770,21.729,-0.305
0.485,0.591,0.535,-5.066,21.362,-1.099
0.455,0.561,0.519,-6.592,20.996,-0.977
0.419,0.649,0.463,-3.235,19.653,0.549
0.388,0.652,0.494,-3.540,18.860,0.427
0.410,0.641,0.477,-6.714,17.944,2.014
0.423,0.657,0.408,-0.427,15.198,4.761
0.435,0.655,0.367,2.136,12.024,5.676
0.449,0.652,0.344,1.526,8.301,6.104
0.471,0.643,0.332,-1.099,4.395,6.165
0.496,0.621,0.377,-4.150,1.282,6.348
0.531,0.612,0.413,-5.127,0.366,7.019
0.563,0.621,0.432,-5.127,0.183,7.507
0.565,0.648,0.448,-6.042,0.305,6.714
0.536,0.674,0.492,-9.460,0.061,5.310
0.513,0.700,0.514,-11.475,-0.427,4.150
0.500,0.686,0.540,-12.268,-1.526,3.540
0.488,0.694,0.560,-9.583,-2.380,3.296

0.060,0.958,-0.008,-95.459,-23.987,-67.383
0.083,0.980,-0.104,-90.698,-33.203,-68.115
0.107,0.984,-0.198,-81.116,-43.274,-67.078
0.118,0.955,-0.243,-70.679,-53.406,-65.002
0.117,0.883,-0.248,-61.951,-63.782,-62.988
