aX,aY,aZ,gX,gY,gZ
-0.607,0.093,0.326,-226.868,-14.221,30.273
-0.535,0.345,0.412,-219.971,-14.343,33.325
-0.624,0.450,0.381,-216.919,-15.564,31.250
-0.658,0.581,0.363,-213.318,-18.066,31.372
-0.472,0.840,0.478,-205.322,-13.306,28.625
-0.521,1.135,0.483,-182.190,-7.019,18.555
-0.554,1.313,0.463,-151.428,-5.005,13.855
-0.602,1.390,0.391,-113.098,-1.953,8.789
-0.589,1.433,0.360,-74.219,1.404,2.258
-0.563,1.380,0.346,-36.560,3.906,-3.540
-0.533,1.272,0.352,-6.104,4.333,-6.165
-0.547,1.142,0.382,18.494,-0.183,-5.066
-0.593,0.964,0.386,38.940,-6.165,-3.052
-0.631,0.878,0.403,51.941,-12.878,-5.371
-0.654,0.878,0.428,63.660,-17.090,-10.681
-0.648,0.885,0.475,79.041,-13.306,-14.893
-0.640,0.919,0.474,98.022,-7.263,-18.127
-0.650,1.012,0.481,119.995,-2.625,-22.095
-0.652,1.128,0.436,149.170,0.488,-27.832
-0.638,1.161,0.368,187.439,-1.221,-36.499
-0.600,1.108,0.318,229.126,-6.042,-48.767
-0.556,0.968,0.351,251.587,-9.949,-60.608
-0.542,0.758,0.376,268.372,-14.343,-63.782
-0.507,0.578,0.348,279.602,-20.569,-62.439
-0.455,0.472,0.329,293.701,-26.306,-61.340
-0.402,0.265,0.233,312.988,-30.273,-57.495
-0.400,-0.093,0.308,307.373,-40.527,-51.270
-0.281,-0.387,0.166,311.890,-51.147,-35.706
-0.236,-0.577,0.330,301.270,-61.768,-14.526
-0.288,-0.829,0.433,300.476,-65.186,5.127
-0.295,-0.780,0.635,313.049,-59.814,25.146
-0.275,-0.965,0.656,332.031,-43.884,35.217
-0.275,-1.182,0.769,327.026,-32.593,40.161
-0.275,-1.179,0.987,297.729,-26.184,46.814
-0.380,-0.975,1.128,254.578,-18.188,47.546

-0.304,-0.279,1.125,-326.538,53.040,-14.465
-0.237,-0.456,0.968,-326.660,62.073,-12.268
-0.115,-0.765,0.675,-345.154,65.369,-5.981
-0.046,-0.914,0.341,-351.501,64.453,10.986
