aX,aY,aZ,gX,gY,gZ
-0.022,0.769,0.812,-8.545,-1.648,-62.012
-0.027,0.648,0.845,-20.813,-2.869,-78.674
-0.024,0.583,0.807,-30.945,-4.578,-95.764
-0.079,0.450,0.886,-44.067,-6.592,-111.206
-0.053,0.138,0.923,-56.458,-8.606,-119.263
-0.015,0.043,0.975,-74.402,-13.855,-120.483
-0.034,0.106,1.050,-62.622,-12.939,-121.277
-0.046,0.043,0.911,-42.480,-11.353,-126.770
-0.032,-0.532,0.963,-35.522,-15.015,-126.343
-0.026,-0.910,1.070,-36.560,-16.174,-108.032
0.002,-1.060,1.111,-26.428,-11.902,-86.121
0.046,-1.214,1.047,-17.334,-8.362,-71.350
0.034,-1.356,0.988,-24.292,-8.118,-57.495
0.002,-1.368,0.980,-21.240,-7.935,-36.011
0.028,-1.484,0.997,-25.757,-6.042,-11.169
0.054,-1.571,1.014,-29.846,-7.751,15.625
0.021,-1.308,1.056,-10.498,-7.874,45.654
-0.002,-0.935,1.059,20.447,-6.287,69.519
-0.033,-0.533,1.009,62.805,-5.920,85.815
-0.041,-0.374,0.927,107.788,-7.019,96.680
-0.027,-0.433,0.931,122.742,-11.719,107.971
-0.006,-0.385,0.854,106.262,-15.564,122.070

0.029,-1.222,0.854,-50.354,-15.381,-20.752
0.052,-1.243,0.843,-54.321,-17.395,-3.784
0.032,-1.143,0.899,-28.809,-16.724,13.184
0.031,-0.910,0.968,-9.155,-15.991,28.381
0.038,-0.701,0.975,16.113,-13.916,42.908
0.045,-0.635,1.002,40.344,-14.160,54.993
0.091,-0.658,0.989,60.852,-13.550,68.726
0.149,-0.686,0.967,65.430,-14.587,82.520
0.150,-0.565,0.971,55.969,-15.869,94.360
0.093,-0.342,0.921,44.617,-15.991,102.905
0.051,-0.470,1.011,18.127,-16.663,108.337
0.016,-0.203,1.049,-13.428,-14.099,115.356
-0.018,0.045,1.059,-19.470,-12.207,113.159
-0.032,0.487,0.992,12.512,-11.841,105.713
-0.042,0.516,0.941,36.743,-10.315,90.942
-0.074,0.543,1.092,32.288,-11.108,78.491
-0.065,0.613,1.035,28.992,-9.644,69.336
-0.092,0.626,0.874,19.775,-11.719,59.509
-0.057,0.693,0.921,3.601,-12.085,45.898
-0.050,0.974,0.891,8.118,-7.935,29.114
-0.095,1.003,0.883,8.728,-7.141,2.380
-0.045,0.881,0.914,-14.771,-7.568,-21.057
0.024,0.817,0.938,-26.917,-6.958,-38.330
0.042,0.615,0.918,-31.067,-7.568,-56.030
0.051,0.394,0.892,-39.246,-8.118,-69.946
0.062,0.266,0.906,-44.983,-7.324,-79.285
0.022,0.204,1.023,-46.631,-6.470,-85.388
0.011,0.478,0.993,-43.030,-2.869,-89.844
0.048,0.422,0.849,-22.583,-2.869,-101.013
0.080,0.159,0.740,-27.893,-7.446,-112.732
0.038,-0.069,0.812,-40.405,-11.963,-117.249
-0.052,-0.018,0.898,-42.603,-13.367,-117.126
-0.037,-0.368,0.932,-39.185,-15.686,-119.263
-0.070,-0.976,0.866,-48.279,-20.142,-114.685
-0.012,-1.379,1.135,-64.575,-21.118,-94.299
0.005,-1.064,1.115,-30.762,5.371,-36.316
0.056,-1.058,1.014,-24.048,5.981,-21.240
0.110,-1.126,0.938,-26.184,5.432,0.183
0.136,-1.206,0.938,-28.931,3.784,27.954
0.050,-1.211,1.020,-30.396,5.798,-64.331
0.049,-1.244,0.928,-35.828,5.493,-48.218
0.062,-1.232,0.894,-35.156,6.714,-29.114
0.111,-1.242,0.830,-41.565,8.667,-9.216
0.112,-1.197,0.809,-44.922,6.653,11.719
0.073,-1.156,0.821,-32.837,1.587,33.936
0.034,-1.013,0.850,-21.545,-1.587,58.105
0.026,-0.769,0.810,-6.348,-1.892,76.477
0.008,-0.506,0.789,17.273,-2.808,88.135
0.000,-0.371,0.777,45.959,-6.165,95.703
-0.006,-0.436,0.850,61.768,-10.193,104.736
-0.047,-0.355,1.009,60.547,-14.282,116.577
-0.068,-0.002,0.906,66.833,-14.221,124.207
-0.183,0.159,0.987,54.565,-17.334,122.192
-0.219,0.121,1.248,10.559,-14.282,117.554
-0.131,0.366,1.215,6.958,-6.958,116.516
-0.158,0.667,1.126,8.850,-7.324,106.873
-0.186,0.794,1.186,18.860,-5.859,85.693
-0.174,0.963,1.185,22.705,-0.061,67.139
-0.157,1.060,1.049,30.884,4.944,48.035
-0.113,0.895,0.980,10.620,3.174,29.724
-0.078,0.992,0.971,-5.554,2.319,16.052
-0.086,1.087,0.941,-7.263,4.272,-0.549
-0.077,1.068,0.954,-12.695,2.686,-22.583
-0.062,0.964,0.921,-14.526,2.319,-43.579
0.003,0.665,0.891,-21.484,-0.305,-62.500
0.050,0.470,0.865,-25.269,-3.113,-76.416
0.041,0.296,0.856,-27.649,-4.150,-87.708
0.021,0.169,0.885,-35.828,-6.104,-95.764
-0.005,0.099,0.986,-44.128,-6.958,-99.487
0.031,0.258,0.971,-43.823,-6.287,-103.760
-0.005,0.182,0.863,-25.635,-6.775,-112.854
0.023,-0.280,0.920,-38.574,-11.963,-118.164
-0.010,-0.345,1.028,-36.560,-14.709,-110.413
-0.012,-0.512,0.930,-18.372,-11.292,-100.647
-0.042,-0.982,1.081,-29.968,-15.930,-90.210
-0.044,-1.058,1.199,-26.062,-13.794,-69.275
0.020,-1.213,1.148,-18.127,-5.676,-50.720
0.028,-1.381,1.125,-25.330,-3.845,-35.522
0.033,-1.367,1.070,-32.104,-1.648,-14.648
0.082,-1.352,0.997,-32.837,0.610,7.446
0.080,-1.234,0.996,-34.424,1.526,31.921
0.046,-0.946,1.012,-27.954,4.028,56.091
0.036,-0.635,0.967,-6.226,5.554,73.425
0.030,-0.396,0.901,20.691,5.676,84.412
0.034,-0.289,0.877,39.551,3.296,92.346
0.062,-0.301,0.845,45.044,-1.465,101.624
0.064,-0.040,0.842,41.443,-5.798,111.450
-0.032,0.008,0.879,46.448,-7.202,113.403
-0.076,-0.133,1.109,11.536,-8.606,114.258
-0.057,0.268,0.996,11.108,-3.052,118.530
-0.069,0.396,1.094,8.728,-2.014,114.502
-0.101,0.744,1.160,10.376,0.732,103.577
-0.172,1.036,1.259,33.081,7.874,84.595
-0.177,1.071,1.093,53.101,9.705,65.369
-0.170,0.939,1.072,40.833,6.348,47.913
-0.113,0.920,0.866,28.748,8.484,33.630
-0.100,1.080,0.897,11.597,7.141,15.808
-0.113,1.208,0.854,-0.610,9.583,-7.446
-0.122,1.190,0.760,-30.273,5.371,-33.752
-0.072,1.069,0.666,-52.612,-1.831,-59.570
-0.004,0.860,0.638,-65.674,-11.475,-83.191
0.008,0.647,0.664,-71.960,-19.775,-101.196
-0.036,0.449,0.802,-81.360,-28.137,-114.746
-0.076,0.379,1.035,-85.632,-32.898,-122.742
-0.079,0.488,1.096,-68.970,-31.494,-129.944
-0.074,0.375,1.078,-33.813,-29.419,-139.954
-0.031,0.058,1.102,-27.161,-29.663,-145.630
-0.002,-0.096,1.086,-13.550,-26.855,-140.076
-0.032,-0.369,0.951,2.808,-22.339,-132.080
-0.053,-0.906,1.064,-14.404,-21.606,-122.253
-0.041,-0.942,1.270,-26.794,-19.470,-97.961
-0.009,-0.965,1.112,-6.836,-9.033,-78.796
0.022,-1.229,1.070,-5.981,-6.592,-68.665
0.012,-1.123,1.105,-4.944,-3.235,-47.302
0.069,-1.057,0.836,11.963,4.395,-27.100
0.094,-1.291,0.811,11.841,0.427,-9.277
0.056,-1.345,0.852,17.517,-3.906,21.057
0.052,-1.257,0.854,28.564,-3.540,54.199
0.012,-0.980,0.852,31.860,-4.456,78.003

-0.045,0.881,0.914,-14.771,-7.568,-21.057
0.024,0.817,0.938,-26.917,-6.958,-38.330
0.042,0.615,0.918,-31.067,-7.568,-56.030
0.051,0.394,0.892,-39.246,-8.118,-69.946
